Label,Discription,Price,Currency,Location,Catagory,Image
2014 Hyundai Tucson 2.4L gas,2014 Year 158000 km Gasoline,14300,USD,Malatia-Sebastia,1,https://s.list.am/g/197/68709197.webp
2016 Kia Sportage 2.4L all wheel drive,2016 Year 72000 miles Gasoline,20000,USD,Avan,1,https://s.list.am/g/032/69404032.webp
2007 VAZ (Lada) 2121 (4x4) 1.7L all wheel drive gas,2007 Year 120000 km Gasoline,1000,USD,Tsaghkahovit,1,https://s.list.am/g/848/61916848.webp
2007 BMW 5 Series 2.8L,2007 Year 270000 km Gasoline,9900,USD,Aparan,1,https://s.list.am/g/890/70625890.webp
2023 DongFeng S60 EV electric,2023 Year 10 km Electric,10900000,AMD,Ajapnyak,1,https://s.list.am/g/855/66449855.webp
2022 DongFeng Rich 6 pickup 2.5L diesel all wheel drive,2022 Year 11 km Diesel,13500000,AMD,Ajapnyak,1,https://s.list.am/g/631/66449631.webp
2022 DongFeng Forthing T5 EVO 1.5L,2022 Year 13 km Gasoline,13800000,AMD,Ajapnyak,1,https://s.list.am/g/421/70495421.webp
2019 Kia Forte 2.0L,2019 Year 50000 km Gasoline,17300,USD,Erebuni,1,https://s.list.am/g/478/70237478.webp
2019 Kia Forte 2.0L,2019 Year 56000 km Gasoline,17900,USD,Erebuni,1,https://s.list.am/g/234/70241234.webp
2021 Toyota Camry 2.5L,2021 Year 25000 km Gasoline,36800,USD,Erebuni,1,https://s.list.am/g/424/70241424.webp
2001 Nissan Primera 2.0L gas,2001 Year 225000 km Gasoline,3500,USD,Kanaker-Zeytun,1,https://s.list.am/g/141/61501141.webp
2005 Toyota Alphard 2.4L gas,2005 Year 250000 km Gasoline,14200,USD,Ajapnyak,1,https://s.list.am/g/439/70242439.webp
2012 UAZ (УАЗ) Hunter 2.7L all wheel drive,2012 Year 180000 km Gasoline,7000,USD,Ijevan,1,https://s.list.am/g/922/66863922.webp
2011 Lexus IS 2.5L all wheel drive,2011 Year 130000 km Gasoline,13500,USD,Shengavit,1,https://s.list.am/g/933/70889933.webp
2006 Mercedes-Benz CLS-Class 5.0L gas,2006 Year 275000 km Gasoline,16200,USD,Vedi,1,https://s.list.am/g/923/70889923.webp
2017 Honda Accord 2.4L,2017 Year 69000 miles Gasoline,19500,USD,Malatia-Sebastia,1,https://s.list.am/g/915/70889915.webp
2010 Nissan Juke 1.6L,2010 Year 89252 miles Gasoline,12200,USD,Erebuni,1,https://s.list.am/g/459/66911459.webp
2015 Toyota RAV4 2.5L all wheel drive,2015 Year 117000 miles Gasoline,22000,USD,Kentron,1,https://s.list.am/g/375/67301375.webp
2007 BMW X5 4.8L all wheel drive,2007 Year 111000 miles Gasoline,14800,USD,Erebuni,1,https://s.list.am/g/490/68282490.webp
2019 Hyundai Kona 2.0L all wheel drive,2019 Year 43000 miles Gasoline,23500,USD,Erebuni,1,https://s.list.am/g/121/68291121.webp
2005 VAZ (Lada) 2112 hatchback 1.6L gas,2005 Year 311000 km Gasoline,750000,AMD,Malatia-Sebastia,1,https://s.list.am/g/877/70889877.webp
2006 Nissan Teana 2.3L gas,2006 Year 197000 km Gasoline,6000,USD,Nubarashen,1,https://s.list.am/g/316/69437316.webp
2012 VAZ (Lada) 2121 Niva 1.9L all wheel drive,2012 Year 118000 km Gasoline,8500,USD,Erebuni,1,https://s.list.am/g/867/70889867.webp
2010 Kia Optima 2.0L hybrid gas,2010 Year 185000 km Hybrid,9500,USD,Gyumri,1,https://s.list.am/g/854/70889854.webp
2019 Toyota Camry 2.5L,2019 Year 40000 miles Gasoline,26300,USD,Nor Nork,1,https://s.list.am/g/981/67220981.webp
2016 Mazda 3 2.0L,2016 Year 52000 miles Gasoline,12900,USD,Nor Nork,1,https://s.list.am/g/362/69679362.webp
2018 Kia Forte 2.0L,2018 Year 104000 miles Gasoline,12900,USD,Nor Nork,1,https://s.list.am/g/147/68766147.webp
2012 Mercedes-Benz C-Class coupe 1.8L,2012 Year 125000 km Gasoline,16500,USD,Nor Nork,1,https://s.list.am/g/131/66987131.webp
2019 Toyota Corolla 1.6L,2019 Year 110000 km Gasoline,28000,USD,Malatia-Sebastia,1,https://s.list.am/g/228/66640228.webp
1998 Nissan Primera 1.6L gas,1998 Year 300000 km Gasoline,300000,AMD,Malatia-Sebastia,1,https://s.list.am/g/256/68914256.webp
1997 Mercedes-Benz CLK-Class coupe 3.2L gas,1997 Year 225000 km Gasoline,4800,USD,Ajapnyak,1,https://s.list.am/g/789/70889789.webp
1991 Mercedes-Benz 190 (W201) 2.0L,1991 Year 189500 km Gasoline,5200,USD,Sisian,1,https://s.list.am/g/781/70889781.webp
2000 Ford Focus wagon 1.8L gas,2000 Year 200000 km Gasoline,3500,USD,Malatia-Sebastia,1,https://s.list.am/g/773/70889773.webp
2011 Toyota Corolla 1.8L,2011 Year 153000 km Gasoline,11200,USD,Davitashen,1,https://s.list.am/g/757/70889757.webp
2010 Nissan Altima 2.5L gas,2010 Year 130000 miles Gasoline,8500,USD,Avan,1,https://s.list.am/g/573/67449573.webp
2008 Lexus LX 5.7L all wheel drive gas,2008 Year 162000 km Gasoline,40000,USD,Meghri,1,https://s.list.am/g/020/63629020.webp
2001 Lexus RX 3.0L gas,2001 Year 186000 km Gasoline,9800,USD,Kentron,1,https://s.list.am/g/984/62736984.webp
2004 Mercedes-Benz Viano 3.2L gas,2004 Year 181000 km Gasoline,16000,USD,Arabkir,1,https://s.list.am/g/519/64800519.webp
2013 Kia Optima 2.0L,2013 Year 100000 km Gasoline,7500,USD,Martuni,1,https://s.list.am/g/276/70773276.webp
2000 Cadillac DeVille 4.6L,2000 Year 150000 km Gasoline,7700000,AMD,Kentron,1,https://s.list.am/g/420/70165420.webp
2006 Mercedes-Benz CLS-Class 3.5L,2006 Year 98600 km Gasoline,14800,USD,Kentron,1,https://s.list.am/g/569/67714569.webp
2012 Lexus GX 4.6L all wheel drive gas,2012 Year 120000 miles Gasoline,36000,USD,Davitashen,1,https://s.list.am/g/441/70849441.webp
2001 Opel Vectra 2.2L gas,2001 Year 220000 km Gasoline,4500,USD,Nor Nork,1,https://s.list.am/g/117/67445117.webp
2018 Mercedes-Benz GLA-Class 2.0L all wheel drive,2018 Year 64000 km Gasoline,29000,USD,Kentron,1,https://s.list.am/g/424/63914424.webp
1996 Mercedes-Benz E-Class 3.2L gas,1996 Year 123000 km Gasoline,3500000,AMD,Stepanakert,1,https://s.list.am/g/766/64046766.webp
2002 BMW 3 Series 2.2L,2002 Year 265000 km Gasoline,5900,USD,Malatia-Sebastia,1,https://s.list.am/g/611/70865611.webp
2006 VAZ (Lada) 2131 Niva 1.8L all wheel drive gas,2006 Year 110000 km Gasoline,6300,USD,Ijevan,1,https://s.list.am/g/739/70889739.webp
2009 Toyota Camry 2.5L gas,2009 Year 163000 miles Gasoline,13000,USD,Avan,1,https://s.list.am/g/628/69682628.webp
2017 Chevrolet Malibu 1.5L,2017 Year 19064 miles Gasoline,11500,USD,On The Way,1,https://s.list.am/g/994/69126994.webp
2006 BMW 3 Series 3.0L all wheel drive,2006 Year 148000 km Gasoline,11800,USD,Ajapnyak,1,https://s.list.am/g/567/70790567.webp
2020 Kia Forte 2.0L,2020 Year 47000 km Gasoline,16500,USD,Shengavit,1,https://s.list.am/g/437/70537437.webp
2019 Cadillac XTS 3.6L,2019 Year 65000 km Gasoline,47000,USD,Gyumri,1,https://s.list.am/g/194/69058194.webp
1994 Honda Civic coupe 1.5L,1994 Year 280000 km Gasoline,3000,USD,Charentsavan,1,https://s.list.am/g/111/67530111.webp
2021 Mazda CX-30 2.5L all wheel drive,2021 Year 8500 miles Gasoline,26000,USD,Erebuni,1,https://s.list.am/g/767/69598767.webp
2008 BMW 5 Series wagon 2.8L all wheel drive gas,2008 Year 280000 km Gasoline,11000,USD,Malatia-Sebastia,1,https://s.list.am/g/739/70582739.webp
2010 Toyota Corolla 1.8L gas,2010 Year 137000 miles Gasoline,11300,USD,Stepanakert,1,https://s.list.am/g/224/60517224.webp
2013 Chevrolet Equinox 2.4L all wheel drive,2013 Year 210000 km Gasoline,5000000,AMD,Gyumri,1,https://s.list.am/g/348/67008348.webp
2017 Infiniti Q60 coupe 3.0L,2017 Year 70000 km Gasoline,37000,USD,Kentron,1,https://s.list.am/g/704/70889704.webp
2017 Jeep Compass 2.4L all wheel drive,2017 Year 47000 miles Gasoline,22500,USD,Armavir,1,https://s.list.am/g/696/70889696.webp
2009 BMW 3 Series coupe 2.0L diesel,2009 Year 240000 km Diesel,13000,USD,Ajapnyak,1,https://s.list.am/g/967/70549967.webp
1999 Toyota Harrier 3.0L all wheel drive gas,1999 Year 200000 km Gasoline,8000,USD,Byurakan,1,https://s.list.am/g/454/68999454.webp
2005 Mercedes-Benz E-Class 3.5L gas,2005 Year 192000 km Gasoline,9000,USD,Shengavit,1,https://s.list.am/g/140/69817140.webp
2003 Mercedes-Benz C-Class 2.4L gas,2003 Year 230000 km Gasoline,6500,USD,Abovian,1,https://s.list.am/g/045/66803045.webp
2019 Nissan Rogue Sport 2.0L all wheel drive,2019 Year 50000 km Gasoline,18000,USD,Malatia-Sebastia,1,https://s.list.am/g/498/67952498.webp
2008 Nissan X-Trail 2.0L all wheel drive gas,2008 Year 133000 km Gasoline,10700,USD,Arabkir,1,https://s.list.am/g/684/67654684.webp
2004 Toyota Ipsum 2.4L gas,2004 Year 250000 km Gasoline,8700,USD,Kentron,1,https://s.list.am/g/738/69439738.webp
1999 Ford Transit 2.0L diesel,1999 Year 150000 km Diesel,5500,USD,Artik,1,https://s.list.am/g/965/67932965.webp
1997 BMW 5 Series 2.5L gas,1997 Year 340000 km Gasoline,5200,USD,Ajapnyak,1,https://s.list.am/g/480/70796480.webp
2016 Toyota Camry 2.5L gas,2016 Year 152000 km Gasoline,20000,USD,Erebuni,1,https://s.list.am/g/162/68864162.webp
2012 Kia Rio 1.4L gas,2012 Year 300000 km Gasoline,5000,USD,Ajapnyak,1,https://s.list.am/g/103/69930103.webp
2021 Toyota Camry 2.5L,2021 Year 2100 km Gasoline,32000,USD,Avan,1,https://s.list.am/g/294/69976294.webp
2008 Mercedes-Benz S-Class 5.5L,2008 Year 108000 km Gasoline,25000,USD,Ararat,1,https://s.list.am/g/057/70633057.webp
2015 BMW 3 Series 2.0L all wheel drive,2015 Year 201000 km Gasoline,18000,USD,Kentron,1,https://s.list.am/g/197/69462197.webp
1995 Mercedes-Benz C-Class 1.8L gas,1995 Year 300000 km Gasoline,4500,USD,Erebuni,1,https://s.list.am/g/652/70889652.webp
2000 VAZ (Lada) 2106 1.6L gas,2000 Year 350000 km Gasoline,850000,AMD,Abovian,1,https://s.list.am/g/645/70889645.webp
2017 Jeep Compass 2.4L all wheel drive,2017 Year 81000 miles Gasoline,24000,USD,Nor Nork,1,https://s.list.am/g/635/70889635.webp
2006 VAZ (Lada) 2114 hatchback 1.6L gas,2006 Year 289000 km Gasoline,3500,USD,Hrazdan,1,https://s.list.am/g/758/70344758.webp
2018 Kia Optima 2.4L,2018 Year 10800 miles Gasoline,23300,USD,Gyumri,1,https://s.list.am/g/884/68455884.webp
2019 Kia Optima 2.4L,2019 Year 61000 miles Gasoline,21900,USD,Gyumri,1,https://s.list.am/g/126/68251126.webp
2018 Nissan Rogue 2.5L,2018 Year 87000 miles Gasoline,18700,USD,Malatia-Sebastia,1,https://s.list.am/g/899/68987899.webp
1999 VAZ (Lada) 21099 1.5L gas,1999 Year 385000 km Gasoline,2200,USD,Bazmaghbyur,1,https://s.list.am/g/839/70596839.webp
2016 Chrysler 200 2.4L all wheel drive,2016 Year 128000 km Gasoline,13500,USD,Avan,1,https://s.list.am/g/608/70889608.webp
1985 UAZ (УАЗ) 469 2.4L all wheel drive gas,1985 Year 83000 km Gasoline,950000,AMD,Vanadzor,1,https://s.list.am/g/605/70889605.webp
1996 Mercedes-Benz C-Class 1.8L gas,1996 Year 242000 km Gasoline,5400,USD,Aparan,1,https://s.list.am/g/595/70889595.webp
2014 Hyundai Elantra 1.8L gas,2014 Year 125600 km Gasoline,11500,USD,Ajapnyak,1,https://s.list.am/g/623/70817623.webp
1992 BMW 3 Series 2.0L,1992 Year 255000 km Gasoline,3500,USD,Erebuni,1,https://s.list.am/g/714/70779714.webp
2005 Mercedes-Benz S-Class 3.5L,2005 Year 180000 km Gasoline,12800,USD,Avan,1,https://s.list.am/g/023/67999023.webp
2011 Volkswagen Jetta 2.5L gas,2011 Year 180000 km Gasoline,11500,USD,Kosh,1,https://s.list.am/g/710/59617710.webp
1996 Ford Transit 2.5L diesel,1996 Year 405000 km Diesel,3200,USD,Echmiadzin,1,https://s.list.am/g/685/63189685.webp
2020 Toyota Corolla 2.0L,2020 Year 37157 miles Gasoline,21200,USD,Kentron,1,https://s.list.am/g/828/70441828.webp
2006 Mercedes-Benz S-Class 5.5L gas,2006 Year 242000 km Gasoline,14000,USD,Malatia-Sebastia,1,https://s.list.am/g/979/62937979.webp
2017 Ford Fusion (North America) 2.5L gas,2017 Year 130000 miles Gasoline,13500,USD,Arabkir,1,https://s.list.am/g/423/66145423.webp
2004 Toyota Land Cruiser 4.5L all wheel drive gas,2004 Year 210000 km Gasoline,18700,USD,Avan,1,https://s.list.am/g/182/70196182.webp
2002 Ford Transit pickup 2.4L diesel,2002 Year 289765 km Diesel,8500,USD,Armavir,1,https://s.list.am/g/714/70401714.webp
2012 VAZ (Lada) 2107 1.7L,2012 Year 45890 km Gasoline,3500,USD,Armavir,1,https://s.list.am/g/768/70162768.webp
2016 Chrysler 200 2.4L,2016 Year 145000 km Gasoline,10500,USD,Gyumri,1,https://s.list.am/g/584/51433584.webp
1998 Honda CR-V 2.0L all wheel drive,1998 Year 225000 km Gasoline,6000,USD,Erebuni,1,https://s.list.am/g/448/68421448.webp
2008 Lexus RX 3.5L all wheel drive gas,2008 Year 163500 km Gasoline,15000,USD,Malatia-Sebastia,1,https://s.list.am/g/790/70384790.webp
1999 Opel Vectra 1.6L gas,1999 Year 200000 km Gasoline,4500,USD,Stepanavan,1,https://s.list.am/g/546/70889546.webp
2022 Toyota Camry 2.5L,2022 Year 950 km Gasoline,43500,USD,Gyumri,1,https://s.list.am/g/532/70889532.webp
1996 Ford Transit wagon 2.5L diesel,1996 Year 300000 km Diesel,4000,USD,Erebuni,1,https://s.list.am/g/074/68844074.webp
2005 Mercedes-Benz CLS-Class wagon 5.0L,2005 Year 136000 km Gasoline,4700,USD,Avan,1,https://s.list.am/g/518/69842518.webp
2017 BMW 4 Series 2.0L,2017 Year 61000 miles Gasoline,24800,USD,Kentron,1,https://s.list.am/g/258/70639258.webp
2019 Kia Optima 2.4L,2019 Year 61000 miles Gasoline,21900,USD,Gyumri,1,https://s.list.am/g/126/68251126.webp
2018 Nissan Rogue 2.5L,2018 Year 87000 miles Gasoline,18700,USD,Malatia-Sebastia,1,https://s.list.am/g/899/68987899.webp
1999 VAZ (Lada) 21099 1.5L gas,1999 Year 385000 km Gasoline,2200,USD,Bazmaghbyur,1,https://s.list.am/g/839/70596839.webp
2016 Chrysler 200 2.4L all wheel drive,2016 Year 128000 km Gasoline,13500,USD,Avan,1,https://s.list.am/g/608/70889608.webp
1985 UAZ (УАЗ) 469 2.4L all wheel drive gas,1985 Year 83000 km Gasoline,950000,AMD,Vanadzor,1,https://s.list.am/g/605/70889605.webp
1996 Mercedes-Benz C-Class 1.8L gas,1996 Year 242000 km Gasoline,5400,USD,Aparan,1,https://s.list.am/g/595/70889595.webp
2014 Hyundai Elantra 1.8L gas,2014 Year 125600 km Gasoline,11500,USD,Ajapnyak,1,https://s.list.am/g/623/70817623.webp
1992 BMW 3 Series 2.0L,1992 Year 255000 km Gasoline,3500,USD,Erebuni,1,https://s.list.am/g/714/70779714.webp
2005 Mercedes-Benz S-Class 3.5L,2005 Year 180000 km Gasoline,12800,USD,Avan,1,https://s.list.am/g/023/67999023.webp
2011 Volkswagen Jetta 2.5L gas,2011 Year 180000 km Gasoline,11500,USD,Kosh,1,https://s.list.am/g/710/59617710.webp
1996 Ford Transit 2.5L diesel,1996 Year 405000 km Diesel,3200,USD,Echmiadzin,1,https://s.list.am/g/685/63189685.webp
2020 Toyota Corolla 2.0L,2020 Year 37157 miles Gasoline,21200,USD,Kentron,1,https://s.list.am/g/828/70441828.webp
2006 Mercedes-Benz S-Class 5.5L gas,2006 Year 242000 km Gasoline,14000,USD,Malatia-Sebastia,1,https://s.list.am/g/979/62937979.webp
2017 Ford Fusion (North America) 2.5L gas,2017 Year 130000 miles Gasoline,13500,USD,Arabkir,1,https://s.list.am/g/423/66145423.webp
2004 Toyota Land Cruiser 4.5L all wheel drive gas,2004 Year 210000 km Gasoline,18700,USD,Avan,1,https://s.list.am/g/182/70196182.webp
2002 Ford Transit pickup 2.4L diesel,2002 Year 289765 km Diesel,8500,USD,Armavir,1,https://s.list.am/g/714/70401714.webp
